id,creado_en,origen,direccion_texto,barrio,comuna,lat_reporte,lon_reporte,precision_reporte,lat_visita,lon_visita,estado,reclamada_por,reclamada_en,tipo_edificacion,num_torres,apts_por_torre,ocupacion,caracterizacion,fallecidos_atrapados,rescatadas_en_sitio,rescatadas_fuente,visitada_por,visitada_en,observaciones,duplicado_de
D-0011,2026-08-09,cruz_roja,Calle 31 15-57 (ejemplo),San Luis,06,3.48134,-76.48558,geocodificada,,,NARANJA,,,edificio,,,4 personas,,No,,,,,,
D-0012,2026-08-12,form_residente,Calle 36 45-29 (ejemplo),El Angel del Hogar,07,3.44683,-76.48236,geocodificada,,,NARANJA,,,conjunto de torres,3,25,2 pisos ocupados,,No,,,,,,
D-0013,2026-08-10,form_residente,Calle 25 46-24 (ejemplo),Las Ceibas,07,3.45613,-76.48869,geocodificada,,,NARANJA,C-01,2026-08-12T12:28:13.830Z,casa,,,sin dato,,No,,,,,,
D-0014,2026-08-09,form_residente,Calle 82 37-31 (ejemplo),Santa Fé,08,3.441,-76.50465,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,4 personas,,No,,,,,,
D-0015,2026-08-12,form_residente,Calle 23 58-34 (ejemplo),Simon Bolivar,08,3.44255,-76.51796,geocodificada,,,NARANJA,,,conjunto de torres,3,27,2 pisos ocupados,,No,,,,,,
D-0016,2026-08-09,form_residente,Calle 53 14-85 (ejemplo),Barrio Obrero,09,3.44678,-76.52023,geocodificada,,,NARANJA,C-01,2026-08-12T12:28:13.830Z,vivienda unifamiliar,,,2 pisos ocupados,,No,,,,,,
D-0017,2026-08-11,form_residente,Calle 76 56-16 (ejemplo),Bretaña,09,3.43888,-76.53295,geocodificada,,,NARANJA,,,edificio,,,evacuado,,No,,,,,,
D-0018,2026-08-11,form_residente,Calle 29 44-36 (ejemplo),Santo Domingo,10,3.41293,-76.53373,geocodificada,3.41293,-76.53373,VERDE,,,casa,,,2 pisos ocupados,"Grietas diagonales en los muros de la caja de escaleras, principalmente en esquinas.",No,,,C-01,2026-08-11 14:20,,
D-0019,2026-08-09,form_residente,Calle 62 24-57 (ejemplo),Santo Domingo,10,3.41257,-76.53124,geocodificada,3.41257,-76.53124,VERDE,,,casa,,,4 personas,Fisuras finas en muros divisorios y en el encuentro muro-cielo del último piso.,No,,,C-01,2026-08-11 14:20,,
D-0020,2026-08-11,cruz_roja,Calle 95 5-13 (ejemplo),Joaquín Holguín Garcés,11,3.40828,-76.51878,geocodificada,,,NARANJA,C-07,2026-08-12T12:28:13.830Z,edificio,,,4 personas,,No,,,,,,
D-0021,2026-08-12,cruz_roja,Calle 94 28-13 (ejemplo),Villa del Sur,11,3.41293,-76.51589,geocodificada,3.41293,-76.51589,ROJO,,,edificio,,,2 pisos ocupados,Colapso estructural parcial: losa de entrepiso caída y columnas con fisuras pasantes.,Sí,14,,C-11,2026-08-11 14:20,,
D-0022,2026-08-09,cruz_roja,Calle 81 52-17 (ejemplo),Nueva Floresta,12,3.43548,-76.49527,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,sin dato,,No,,,,,,
D-0023,2026-08-09,form_residente,Calle 59 36-42 (ejemplo),Villanueva,12,3.4309,-76.50713,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,2 pisos ocupados,,No,,,,,,
D-0024,2026-08-11,form_residente,Calle 72 30-89 (ejemplo),El Pondaje,13,3.42977,-76.49541,geocodificada,,,NARANJA,C-07,2026-08-12T12:28:13.830Z,vivienda unifamiliar,,,4 personas,,No,,,,,,
D-0025,2026-08-12,cruz_roja,Calle 81 9-71 (ejemplo),El Poblado I,13,3.41706,-76.49559,geocodificada,3.41706,-76.49559,ROJO,,,vivienda unifamiliar,,,evacuado,Riesgo alto de colapso: desplome del muro de carga en el costado posterior.,Sí,7,,C-01,2026-08-11 14:20,,
D-0026,2026-08-10,form_residente,Calle 60 48-59 (ejemplo),Los Naranjos II,14,3.4346,-76.47583,geocodificada,,,NARANJA,,,casa,,,4 personas,,No,,,,,,
D-0027,2026-08-11,form_residente,Calle 64 36-84 (ejemplo),Los Naranjos II,14,3.43319,-76.47576,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,sin dato,,No,,,,,,
D-0028,2026-08-09,cruz_roja,Calle 47 40-89 (ejemplo),Laureano Gómez,15,3.41271,-76.49767,geocodificada,3.41271,-76.49767,VERDE,,,casa,,,sin dato,"Fisuras en las juntas de dilatación entre bloques, con desprendimiento localizado de acabados.",No,,,C-01,2026-08-11 14:20,,
D-0029,2026-08-10,form_residente,Calle 75 45-60 (ejemplo),El Vallado,15,3.40779,-76.49764,geocodificada,3.40779,-76.49764,ROJO,,,edificio,,,4 personas,Colapso total de la edificación. Estructura no recuperable.,Desconocido,20,,C-03,2026-08-11 14:20,,
D-0030,2026-08-11,form_residente,Calle 39 4-88 (ejemplo),La Alborada,16,3.40142,-76.51954,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,evacuado,,No,,,,,,
D-0031,2026-08-09,form_residente,Calle 75 56-26 (ejemplo),República de Israel,16,3.40919,-76.51323,geocodificada,3.40919,-76.51323,ROJO,,,vivienda unifamiliar,,,4 personas,Colapso total de la edificación. Estructura no recuperable.,Desconocido,1,cuadrilla C-07 en sitio,C-07,2026-08-11 14:20,,
D-0032,2026-08-10,form_residente,Calle 98 31-49 (ejemplo),Urbanización San Joaquín,17,3.37112,-76.52589,geocodificada,3.37112,-76.52589,VERDE,,,edificio,,,varía,"Grietas diagonales en los muros de la caja de escaleras, principalmente en esquinas.",No,,,C-07,2026-08-11 14:20,,
D-0033,2026-08-10,cruz_roja,Calle 86 41-67 (ejemplo),Ciudadela Comfandi,17,3.38619,-76.52371,geocodificada,3.38619,-76.52371,ROJO,,,edificio,,,2 pisos ocupados,Riesgo alto de colapso: desplome del muro de carga en el costado posterior.,Sí,5,,C-01,2026-08-11 14:20,,
D-0034,2026-08-10,form_residente,Calle 24 40-11 (ejemplo),Polvorines,18,3.37032,-76.55673,geocodificada,,,NARANJA,,,conjunto de torres,4,28,evacuado,,No,,,,,,
D-0035,2026-08-10,form_residente,Calle 74 24-31 (ejemplo),Francisco Eladio Ramirez,18,3.38751,-76.55019,geocodificada,3.38751,-76.55019,ROJO,,,casa,,,sin dato,Colapso estructural parcial: losa de entrepiso caída y columnas con fisuras pasantes.,Desconocido,,,C-03,2026-08-11 14:20,,
D-0036,2026-08-10,form_residente,Calle 41 22-31 (ejemplo),Los Cámbulos,19,3.41692,-76.53773,geocodificada,3.41692,-76.53773,VERDE,,,edificio,,,sin dato,"Fisuras en las juntas de dilatación entre bloques, con desprendimiento localizado de acabados.",No,,,C-07,2026-08-11 14:20,,
D-0037,2026-08-10,cruz_roja,Calle 68 11-20 (ejemplo),Cañaveral,19,3.40924,-76.56591,geocodificada,3.40924,-76.56591,ROJO,,,vivienda unifamiliar,,,2 pisos ocupados,Colapso total de la edificación. Estructura no recuperable.,Sí,2,cuadrilla C-11 en sitio,C-11,2026-08-11 14:20,,
D-0038,2026-08-10,form_residente,Calle 73 36-75 (ejemplo),Brisas de Mayo,20,3.41896,-76.56395,geocodificada,3.41896,-76.56395,ROJO,,,edificio,,,sin dato,Colapso total de la edificación. Estructura no recuperable.,Sí,8,,C-07,2026-08-11 14:20,,
D-0039,2026-08-11,cruz_roja,Calle 35 53-21 (ejemplo),Lleras Camargo,20,3.42127,-76.55947,geocodificada,3.42127,-76.55947,VERDE,,,vivienda unifamiliar,,,sin dato,"Fisuras en las juntas de dilatación entre bloques, con desprendimiento localizado de acabados.",No,,,C-01,2026-08-11 14:20,,
D-0040,2026-08-10,cruz_roja,Calle 75 56-41 (ejemplo),Pizamos I,21,3.40076,-76.47553,geocodificada,,,NARANJA,,,casa,,,evacuado,,No,,,,,,
D-0041,2026-08-11,form_residente,Calle 39 23-14 (ejemplo),Ciudad Jardín,22,3.36243,-76.53651,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,sin dato,,No,,,,,,
D-0042,2026-08-12,form_residente,Calle 23 con Carrera 26 (ejemplo),El Peñón,03,,,sin_ubicar,,,NARANJA,,,,,,,,Desconocido,,,,,Dirección incompleta: hay que ubicarla en campo.,
D-0043,2026-08-12,form_residente,Calle 71 con Carrera 20 (ejemplo),Las Ceibas,07,,,sin_ubicar,,,NARANJA,,,,,,,,Desconocido,,,,,Dirección incompleta: hay que ubicarla en campo.,
D-0044,2026-08-09,form_residente,Calle 90 6-51 apto 302 (ejemplo),Patio Bonito,01,3.46344,-76.58571,geocodificada,,,NARANJA,,,vivienda unifamiliar,,,evacuado,,No,,,,,Segundo reporte de la misma edificación: candidato a fusionar.,
